File Name,result0.01,result0.001,result0.01-2,result0.001-2
34ë²?1_Data_20240921_164704.csv,96.38479887,95.51646735,92.69581813,91.02394966
34ë²?2_Data_20240921_165505.csv,98.51207005,97.62457392,96.99377418,95.24438747
34ë²?3_Data_20240921_170305.csv,98.44260546,97.55573514,96.85342735,95.10657195
34ë²?4_Data_20240921_171031.csv,99.03810149,98.14586634,98.05657239,96.28801698
34ë²?5_Data_20240921_171737.csv,98.26440747,97.37914253,96.49339467,94.75303285
34ë²?6_Data_20240922_175932.csv,97.69949364,96.81931802,95.35203817,93.63226193
34ë²?7_Data_20240922_180645.csv,97.61873912,96.73929102,95.18888107,93.47204754
35ë²?1_Data_20240922_082221.csv,97.36708804,96.48990707,94.68044319,92.97277988
35ë²?2_Data_20240922_083058.csv,98.2619943,97.37675111,96.4885191,94.74824521
35ë²?3_Data_20240922_083801.csv,97.66056247,96.78073759,95.27338132,93.55502374
35ë²?4_Data_20240922_084524.csv,97.63309334,96.75351593,95.21788247,93.50052587
35ë²?5_Data_20240922_085210.csv,98.55151745,97.66366594,97.07347403,95.32264985
35ë²?6_Data_20240923_102849.csv,98.75001673,97.86037694,97.4745236,95.71646606
35ë²?7_Data_20240923_103534.csv,97.9595088,97.0769907,95.87737491,94.14812366
36ë²?1_Data_20240922_151852.csv,97.87801374,96.99622983,95.71272164,93.98644009
36ë²?2_Data_20240922_152716.csv,97.64410287,96.76442627,95.24012621,93.52236842
36ë²?3_Data_20240922_153451.csv,99.23680565,98.34278038,98.45803591,96.68223967
36ë²?4_Data_20240922_154203.csv,98.86590502,97.97522119,97.70866525,95.94638471
36ë²?5_Data_20240922_154851.csv,99.07025689,98.17773205,98.12153943,96.35181226
36ë²?6_Data_20240923_170157.csv,98.80939679,97.91922204,97.59449555,95.83427419
36ë²?7_Data_20240923_170855.csv,99.05227201,98.1599092,98.08520264,96.31613085
37ë²?1_Data_20240924_200642.csv,97.29978046,96.42320586,94.5444544,92.8392438
37ë²?2_Data_20240924_201438.csv,96.94479991,96.07142333,93.82724879,92.13497376
37ë²?3_Data_20240924_202141.csv,98.55174598,97.66389241,97.07393575,95.32310325
37ë²?4_Data_20240924_202857.csv,97.94749536,97.06508549,95.85310286,94.12428938
37ë²?5_Data_20240924_203622.csv,98.64528641,97.75659014,97.2629256,95.50868446
37ë²?6_Data_20240926_195457.csv,97.81521107,96.93399295,95.58583461,93.8618416
37ë²?7_Data_20240926_200109.csv,97.12439251,96.24939798,94.19009915,92.49127972
3ë²?1_Data_20240910_212403.csv,96.73429494,95.86281481,93.40194285,91.71733867
